Long;Lat;Alt
49.01075;2.03109;89.2
49.01075;2.03111;89.3
49.01076;2.03112;89.3
49.01076;2.03114;89.3
49.01077;2.03115;89.2
49.01077;2.03116;89.2
49.01078;2.03116;89.2
49.01079;2.03117;89.2
49.01079;2.03118;89.2
49.0108;2.03119;89.1
49.01081;2.03119;89.1
49.01083;2.03121;89
49.01091;2.03121;88.4
49.01093;2.03119;88.3
49.01094;2.03119;88.2
49.01094;2.03118;88.2
49.01095;2.03117;88.2
49.01096;2.03117;88.1
49.01096;2.03116;88.1
49.01097;2.03115;88
49.01097;2.03114;88
49.01098;2.03113;87.9
49.01098;2.03112;87.9
49.01099;2.03111;87.9
49.01099;2.0311;87.9
49.011;2.03109;87.8
49.011;2.03103;87.7
49.01101;2.03102;87.6
49.01101;2.031;87.6
49.011;2.03098;87.6
49.011;2.03093;87.5
49.01099;2.03092;87.6
49.01099;2.03091;87.6
49.0112;2.03052;86.7
49.01166;2.02977;87.8
49.01191;2.0294;89.1
49.01254;2.02863;90
49.01274;2.02841;90.7
49.01276;2.02838;90.8
49.01281;2.02833;91
49.01286;2.02826;91
49.01391;2.02707;90.9
49.01477;2.02605;86.3
49.01491;2.02587;84.1
49.0153;2.02542;79.3
49.01539;2.0253;79.1
49.01789;2.02236;92.8
49.01793;2.02233;93.1
49.01813;2.02215;94.3
49.01835;2.02197;95.1
49.0185;2.02188;95.7
49.01857;2.02183;95.9
49.01858;2.02182;95.9
49.0188;2.02171;96
49.01901;2.02165;96.1
49.01906;2.02164;96.1
49.01909;2.02163;96.1
49.01927;2.02159;96.2
49.0193;2.02158;96.2
49.01954;2.02156;95.8
49.01963;2.02156;95.6
49.01973;2.02155;95.4
49.01981;2.02156;95.4
49.02012;2.02162;95.1
49.02033;2.02168;95
49.02062;2.02179;95
49.02104;2.02197;95
49.02136;2.02207;95
49.0218;2.02223;96.5
49.02214;2.02231;97.7
49.02268;2.02239;99.6
49.0231;2.0224;100.7
49.02321;2.02239;100.8
49.02332;2.02237;101
49.02342;2.02234;101.3
49.02393;2.02226;102
49.02395;2.0223;102
49.02395;2.02231;102
49.02396;2.02231;102
49.02397;2.02233;102
49.02399;2.02248;102
49.02398;2.02276;102
49.02394;2.02311;102
49.02427;2.0232;102.2
49.02422;2.0235;102
49.02422;2.02353;102
49.02423;2.02355;102
49.02424;2.02356;102
49.02425;2.02358;102
49.02426;2.02359;102
49.02428;2.0236;102
49.02467;2.0237;102.8
49.02469;2.02371;102.9
49.0247;2.02372;102.9
49.02471;2.02372;103
49.02481;2.02388;103
49.02471;2.02448;102
49.02469;2.02469;102
49.0247;2.02471;102
49.0247;2.02473;102
49.02472;2.02475;102
49.02473;2.02477;102
49.02474;2.02478;102
49.02481;2.02481;102
49.0248;2.02489;102
49.02479;2.02493;102
49.02475;2.02497;102
49.02443;2.02539;102
49.02458;2.02552;102
49.0247;2.02565;102
