ResolutionVector;RouteTimeVector;TotalTimeVector;TotalDistanceVector;TotalNodesVector
71;0.6417593955993652;1.4067833423614502;47076;977
71;0.6533291339874268;1.6048259735107422;47076;977
71;0.9405946731567383;1.9121694564819336;47076;977
71;0.5905325412750244;1.8916397094726562;47076;977
81;0.49903202056884766;0.9257993698120117;47076;905
81;0.4781312942504883;2.2911593914031982;47076;905
81;0.5313522815704346;1.2986714839935303;47076;905
81;1.1332838535308838;2.533644437789917;47076;905
81;0.8839733600616455;2.7533559799194336;47076;905
81;0.7507994174957275;3.1994903087615967;47076;905
81;1.1653215885162354;2.1846516132354736;47076;905
81;0.6951093673706055;3.447481393814087;47076;905
81;0.6738002300262451;2.3041493892669678;47076;905
81;2.095655918121338;3.2768640518188477;47076;905
91;0.6725594997406006;1.831359624862671;47076;842
91;0.6616041660308838;1.4570062160491943;47076;842
91;0.7069272994995117;1.5287647247314453;47076;842
91;0.6343798637390137;1.3477468490600586;47076;842
91;0.7423946857452393;1.563647985458374;47076;842
91;5.98608136177063;6.859865188598633;47076;842
91;0.5588021278381348;1.5175786018371582;47076;842
91;4.813338994979858;6.028111219406128;47076;842
91;0.5212409496307373;0.9949600696563721;47076;842
91;0.4575672149658203;1.4044265747070312;47076;842
101;0.43766069412231445;0.8981380462646484;47076;808
101;0.5789556503295898;1.4969861507415771;47076;808
101;0.971550703048706;1.6805319786071777;47076;808
101;0.6420960426330566;1.0954914093017578;47076;808
101;0.6331770420074463;1.9227511882781982;47076;808
101;0.692272424697876;1.2739806175231934;47076;808
101;0.5659904479980469;1.1674692630767822;47076;808
101;0.5984463691711426;3.695591688156128;47076;808
101;0.7127866744995117;1.6503057479858398;47076;808
101;0.5229532718658447;1.251561164855957;47076;808
111;0.47739124298095703;1.4277400970458984;47076;776
111;0.6495833396911621;1.5020661354064941;47076;776
111;0.49762582778930664;1.1275911331176758;47076;776
111;1.1952364444732666;1.7968776226043701;47076;776
111;0.6138455867767334;1.148991346359253;47076;776
111;0.5998594760894775;1.7597012519836426;47076;776
111;1.055177927017212;2.5437090396881104;47076;776
111;0.9871342182159424;2.972877025604248;47076;776
111;0.5422399044036865;1.3532328605651855;47076;776
111;1.068483591079712;2.1580328941345215;47076;776
121;0.5730798244476318;1.86195969581604;47076;747
121;0.62320876121521;1.8328680992126465;47076;747
121;1.2702686786651611;2.5218677520751953;47076;747
121;0.6475725173950195;1.7125277519226074;47076;747
121;1.0094311237335205;1.6393394470214844;47076;747
121;0.7241275310516357;1.7120773792266846;47076;747
121;0.762542724609375;2.639854907989502;47076;747
121;0.48584938049316406;1.301814079284668;47076;747
121;0.5318825244903564;2.1699678897857666;47076;747
121;0.5738327503204346;1.7919583320617676;47076;747
131;1.0836162567138672;2.155879259109497;47076;723
131;0.8228862285614014;1.2359962463378906;47076;723
131;0.8614563941955566;1.3041431903839111;47076;723
131;0.6588954925537109;1.1609442234039307;47076;723
131;0.5917201042175293;1.4445090293884277;47076;723
131;0.6463954448699951;1.5071825981140137;47076;723
131;1.0211327075958252;1.9722020626068115;47076;723
131;0.740710973739624;1.0982279777526855;47076;723
131;0.5496492385864258;1.3876581192016602;47076;723
131;0.7715873718261719;1.7197470664978027;47076;723
141;0.5515673160552979;1.1077463626861572;47076;710
141;0.5343496799468994;0.9676978588104248;47076;710
141;0.5176873207092285;0.8509190082550049;47076;710
141;0.6603438854217529;1.1518540382385254;47076;710
141;0.6066174507141113;1.997771978378296;47076;710
141;0.6752064228057861;1.5076076984405518;47076;710
141;1.1678330898284912;4.012837886810303;47076;710
141;0.47821879386901855;0.7838289737701416;47076;710
141;1.0431134700775146;1.8276042938232422;47076;710
141;0.5243582725524902;0.8772380352020264;47076;710
151;0.6815428733825684;1.0368919372558594;47076;693
151;0.48023509979248047;1.6060383319854736;47076;693
151;0.5514702796936035;0.9220538139343262;47076;693
151;0.6114394664764404;2.0136666297912598;47076;693
151;0.4942934513092041;0.8610765933990479;47076;693
151;0.7964978218078613;1.720367193222046;47076;693
